time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.99E-07,0.947868807,1,-0.200017002,0.124851193,1.07272
1,-1.99E-07,0.946974255,1,-0.20001663,0.125745745,1.07272
2,-1.99E-07,0.946058479,1,-0.20001641,0.126661521,1.07272
3,-1.99E-07,0.945124034,1,-0.200016312,0.127595966,1.07272
4,-1.99E-07,0.944169401,1,-0.200016313,0.128550599,1.07272
5,-1.99E-07,0.943185041,1,-0.200016811,0.129534959,1.07272
6,-1.99E-07,0.942198797,1,-0.200016721,0.130521203,1.07272
7,-1.99E-07,0.941190537,1,-0.200016818,0.131529463,1.07272
8,-1.99E-07,0.940167396,1,-0.200016673,0.132552604,1.07272
9,-1.99E-07,0.939121897,1,-0.200016676,0.133598103,1.07272
10,-1.99E-07,0.938061563,1,-0.200016518,0.134658437,1.07272
11,-1.99E-07,0.936981009,1,-0.200016685,0.135738991,1.07272
12,-1.99E-07,0.935873098,1,-0.200016579,0.136846902,1.07272
13,-1.99E-07,0.934752656,1,-0.200016544,0.137967344,1.07272
14,-1.99E-07,0.933599506,1,-0.20001674,0.139120494,1.07272
15,-1.99E-07,0.932438776,1,-0.200016589,0.140281224,1.07272
16,-1.99E-07,0.93125673,1,-0.200016423,0.14146327,1.07272
17,-1.99E-07,0.930036012,1,-0.200016755,0.142683988,1.07272
18,-1.99E-07,0.928809945,1,-0.200016551,0.143910055,1.07272
19,-1.99E-07,0.927550415,1,-0.200016701,0.145169585,1.07272
20,-1.99E-07,0.926275842,1,-0.200016551,0.146444158,1.07272
21,-1.99E-07,0.924964594,1,-0.200016869,0.147755406,1.07272
22,-1.99E-07,0.923650763,1,-0.200016463,0.149069237,1.07272
23,-1.99E-07,0.922298068,1,-0.200016439,0.150421932,1.07272
24,-1.99E-07,0.920921962,1,-0.200016547,0.151798038,1.07272
25,-1.99E-07,0.919518393,1,-0.200016575,0.153201607,1.07272
26,-1.99E-07,0.91808521,1,-0.200016652,0.15463479,1.07272
27,-1.99E-07,0.91663886,1,-0.200016403,0.15608114,1.07272
28,-1.99E-07,0.915157045,1,-0.200016355,0.157562955,1.07272
29,-1.99E-07,0.913622066,1,-0.200016922,0.159097934,1.07272
30,-1.99E-07,0.912094131,1,-0.200016564,0.160625869,1.07272
31,-1.99E-07,0.91052093,1,-0.200016711,0.16219907,1.07272
32,-1.99E-07,0.90892532,1,-0.200016585,0.16379468,1.07272
33,-1.99E-07,0.907290544,1,-0.200016652,0.165429456,1.07272
34,-1.99E-07,0.90563793,1,-0.200016369,0.16708207,1.07272
35,-1.99E-07,0.903926502,1,-0.200016886,0.168793498,1.07272
36,-1.99E-07,0.902215995,1,-0.200016508,0.170504005,1.07272
37,-1.99E-07,0.90044413,1,-0.200016785,0.17227587,1.07272
38,-1.99E-07,0.898648462,1,-0.200016873,0.174071538,1.07272
39,-1.99E-07,0.896839315,1,-0.200016371,0.175880685,1.07272
40,-1.99E-07,0.894978887,1,-0.200016302,0.177741113,1.07272
