time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.99E-07,0.973615572,1,-0.200000461,0.099104428,1.07272
1,-1.99E-07,0.972956728,1,-0.200000194,0.099763272,1.07272
2,-1.99E-07,0.972272794,1,-0.200000305,0.100447206,1.07272
3,-1.99E-07,0.971586905,1,-0.200000219,0.101133095,1.07272
4,-1.99E-07,0.970870438,1,-0.200000451,0.101849562,1.07272
5,-1.99E-07,0.970154736,1,-0.20000031,0.102565264,1.07272
6,-1.99E-07,0.969410718,1,-0.200000594,0.103309282,1.07272
7,-1.99E-07,0.968666734,1,-0.200000499,0.104053266,1.07272
8,-1.99E-07,0.967902634,1,-0.200000455,0.104817366,1.07272
9,-1.99E-07,0.967128202,1,-0.200000338,0.105591798,1.07272
10,-1.99E-07,0.966338322,1,-0.20000034,0.106381678,1.07272
11,-1.99E-07,0.96552888,1,-0.200000158,0.10719112,1.07272
12,-1.99E-07,0.964715516,1,-0.199999949,0.108004484,1.07272
13,-1.99E-07,0.963858127,1,-0.200000429,0.108861873,1.07272
14,-1.99E-07,0.963002222,1,-0.200000476,0.109717778,1.07272
15,-1.99E-07,0.96212989,1,-0.200000301,0.11059011,1.07272
16,-1.99E-07,0.96123874,1,-0.20000036,0.11148126,1.07272
17,-1.99E-07,0.96033279,1,-0.200000227,0.11238721,1.07272
18,-1.99E-07,0.959397384,1,-0.20000045,0.113322616,1.07272
19,-1.99E-07,0.958456964,1,-0.20000027,0.114263036,1.07272
20,-1.99E-07,0.957491988,1,-0.200000244,0.115228012,1.07272
21,-1.99E-07,0.956509767,1,-0.20000025,0.116210233,1.07272
22,-1.99E-07,0.955495765,1,-0.200000554,0.117224235,1.07272
23,-1.99E-07,0.954481612,1,-0.2000003,0.118238388,1.07272
24,-1.99E-07,0.953441715,1,-0.200000194,0.119278285,1.07272
25,-1.99E-07,0.952364892,1,-0.200000509,0.120355108,1.07272
26,-1.99E-07,0.951281713,1,-0.200000435,0.121438287,1.07272
27,-1.99E-07,0.95017697,1,-0.200000363,0.12254303,1.07272
28,-1.99E-07,0.949041196,1,-0.200000518,0.123678804,1.07272
29,-1.99E-07,0.947910067,1,-0.199999917,0.124809933,1.07272
30,-1.99E-07,0.946728492,1,-0.200000002,0.125991508,1.07272
31,-1.99E-07,0.945530746,1,-0.200000089,0.127189254,1.07272
32,-1.99E-07,0.944298562,1,-0.200000352,0.128421438,1.07272
33,-1.99E-07,0.943052995,1,-0.200000255,0.129667005,1.07272
34,-1.99E-07,0.941778611,1,-0.200000368,0.130941389,1.07272
35,-1.99E-07,0.940480915,1,-0.200000361,0.132239085,1.07272
36,-1.99E-07,0.939171008,1,-0.200000043,0.133548992,1.07272
37,-1.99E-07,0.93780684,1,-0.200000404,0.13491316,1.07272
38,-1.99E-07,0.936440527,1,-0.200000263,0.136279473,1.07272
39,-1.99E-07,0.935027332,1,-0.200000363,0.137692668,1.07272
40,-1.99E-07,0.933595445,1,-0.200000381,0.139124555,1.07272
41,-1.99E-07,0.932132354,1,-0.200000433,0.140587646,1.07272
42,-1.99E-07,0.930646102,1,-0.200000312,0.142073898,1.07272
43,-1.99E-07,0.929129174,1,-0.200000241,0.143590826,1.07272
44,-1.99E-07,0.927595322,1,-0.199999943,0.145124678,1.07272
45,-1.99E-07,0.925994817,1,-0.200000343,0.146725183,1.07272
46,-1.99E-07,0.924377201,1,-0.200000475,0.148342799,1.07272
47,-1.99E-07,0.922738821,1,-0.200000259,0.149981179,1.07272
48,-1.99E-07,0.921056456,1,-0.2000004,0.151663544,1.07272
49,-1.99E-07,0.919344839,1,-0.200000379,0.153375161,1.07272
50,-1.99E-07,0.917614869,1,-0.19999991,0.155105131,1.07272
