time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.99E-07,0.988142627,1,-0.199997442,0.084577373,1.07272
1,-1.99E-07,0.987749925,1,-0.199997359,0.084970075,1.07272
2,-1.99E-07,0.987335363,1,-0.199997934,0.085384637,1.07272
3,-1.99E-07,0.986925472,1,-0.199998019,0.085794528,1.07272
4,-1.99E-07,0.986510796,1,-0.199998011,0.086209204,1.07272
5,-1.99E-07,0.986095988,1,-0.199997727,0.086624012,1.07272
6,-1.99E-07,0.985662991,1,-0.199997885,0.087057009,1.07272
7,-1.99E-07,0.985232135,1,-0.199997699,0.087487865,1.07272
8,-1.99E-07,0.984782102,1,-0.199997915,0.087937898,1.07272
9,-1.99E-07,0.98433239,1,-0.19999788,0.08838761,1.07272
10,-1.99E-07,0.983873183,1,-0.199997791,0.088846817,1.07272
11,-1.99E-07,0.983418511,1,-0.199997351,0.089301489,1.07272
12,-1.99E-07,0.982926815,1,-0.199997953,0.089793185,1.07272
13,-1.99E-07,0.982443405,1,-0.199997883,0.090276595,1.07272
14,-1.99E-07,0.981963469,1,-0.199997483,0.090756531,1.07272
15,-1.99E-07,0.98145944,1,-0.199997732,0.09126056,1.07272
16,-1.99E-07,0.980943092,1,-0.199997763,0.091776908,1.07272
17,-1.99E-07,0.980426945,1,-0.199997619,0.092293055,1.07272
18,-1.99E-07,0.979900828,1,-0.199997577,0.092819172,1.07272
19,-1.99E-07,0.979359102,1,-0.199997602,0.093360898,1.07272
20,-1.99E-07,0.978803613,1,-0.199997851,0.093916387,1.07272
21,-1.99E-07,0.978250945,1,-0.199997609,0.094469055,1.07272
22,-1.99E-07,0.977673353,1,-0.199997913,0.095046647,1.07272
23,-1.99E-07,0.977093509,1,-0.199997897,0.095626491,1.07272
24,-1.99E-07,0.976503553,1,-0.199997874,0.096216447,1.07272
25,-1.99E-07,0.975912488,1,-0.199997571,0.096807512,1.07272
26,-1.99E-07,0.975293048,1,-0.199997741,0.097426952,1.07272
27,-1.99E-07,0.974665643,1,-0.199997847,0.098054357,1.07272
28,-1.99E-07,0.97404188,1,-0.199997524,0.09867812,1.07272
29,-1.99E-07,0.973380983,1,-0.199997792,0.099339017,1.07272
30,-1.99E-07,0.972723782,1,-0.199997671,0.099996218,1.07272
31,-1.99E-07,0.972047291,1,-0.199997793,0.100672709,1.07272
32,-1.99E-07,0.971365176,1,-0.19999771,0.101354824,1.07272
33,-1.99E-07,0.970666798,1,-0.199997523,0.102053202,1.07272
34,-1.99E-07,0.969953065,1,-0.199997602,0.102766935,1.07272
35,-1.99E-07,0.969220088,1,-0.199997804,0.103499912,1.07272
36,-1.99E-07,0.968478984,1,-0.199997812,0.104241016,1.07272
37,-1.99E-07,0.967722387,1,-0.19999784,0.104997613,1.07272
38,-1.99E-07,0.96695156,1,-0.199997851,0.10576844,1.07272
39,-1.99E-07,0.966170773,1,-0.199997676,0.106549227,1.07272
40,-1.99E-07,0.965372535,1,-0.199997616,0.107347465,1.07272
41,-1.99E-07,0.964551413,1,-0.199997724,0.108168587,1.07272
42,-1.99E-07,0.963725706,1,-0.199997588,0.108994294,1.07272
43,-1.99E-07,0.962871005,1,-0.199997675,0.109848995,1.07272
44,-1.99E-07,0.962003804,1,-0.199997764,0.110716196,1.07272
45,-1.99E-07,0.961132203,1,-0.199997422,0.111587797,1.07272
46,-1.99E-07,0.960232275,1,-0.19999746,0.112487725,1.07272
47,-1.99E-07,0.95931392,1,-0.199997441,0.11340608,1.07272
48,-1.99E-07,0.958366989,1,-0.199997748,0.114353011,1.07272
49,-1.99E-07,0.957421714,1,-0.199997555,0.115298286,1.07272
50,-1.99E-07,0.956439439,1,-0.199997698,0.116280561,1.07272
51,-1.99E-07,0.955457913,1,-0.199997508,0.117262087,1.07272
52,-1.99E-07,0.954437171,1,-0.199997601,0.118282829,1.07272
53,-1.99E-07,0.953400491,1,-0.199997692,0.119319509,1.07272
54,-1.99E-07,0.952348351,1,-0.199997667,0.120371649,1.07272
55,-1.99E-07,0.951284305,1,-0.199997319,0.121435695,1.07272
56,-1.99E-07,0.950194258,1,-0.199997233,0.122525742,1.07272
57,-1.99E-07,0.949054794,1,-0.199997756,0.123665206,1.07272
58,-1.99E-07,0.947935252,1,-0.199997202,0.124784748,1.07272
59,-1.99E-07,0.946764717,1,-0.199997441,0.125955283,1.07272
60,-1.99E-07,0.945577696,1,-0.19999746,0.127142304,1.07272
61,-1.99E-07,0.944354444,1,-0.199997792,0.128365556,1.07272
62,-1.99E-07,0.943126653,1,-0.199997616,0.129593347,1.07272
63,-1.99E-07,0.941860545,1,-0.199997766,0.130859455,1.07272
64,-1.99E-07,0.940597466,1,-0.199997163,0.132122534,1.07272
65,-1.99E-07,0.939282802,1,-0.199997338,0.133437198,1.07272
66,-1.99E-07,0.937944545,1,-0.199997422,0.134775455,1.07272
67,-1.99E-07,0.936568832,1,-0.199997767,0.136151168,1.07272
68,-1.99E-07,0.935199789,1,-0.199997281,0.137520211,1.07272
69,-1.99E-07,0.933767948,1,-0.199997596,0.138952052,1.07272
70,-1.99E-07,0.932333101,1,-0.199997367,0.140386899,1.07272
71,-1.99E-07,0.93084302,1,-0.199997733,0.14187698,1.07272
72,-1.99E-07,0.929343484,1,-0.199997566,0.143376516,1.07272
73,-1.99E-07,0.927808119,1,-0.199997643,0.144911881,1.07272
74,-1.99E-07,0.926256185,1,-0.19999734,0.146463815,1.07272
75,-1.99E-07,0.924644704,1,-0.199997687,0.148075296,1.07272
76,-1.99E-07,0.923027101,1,-0.199997412,0.149692899,1.07272
77,-1.99E-07,0.921357034,1,-0.199997659,0.151362966,1.07272
78,-1.99E-07,0.919669,1,-0.199997513,0.153051,1.07272
79,-1.99E-07,0.917934722,1,-0.199997631,0.154785278,1.07272
80,-1.99E-07,0.916188237,1,-0.199997265,0.156531763,1.07272
81,-1.99E-07,0.91438807,1,-0.199997236,0.15833193,1.07272
82,-1.99E-07,0.912540772,1,-0.199997491,0.160179228,1.07272
83,-1.99E-07,0.910677037,1,-0.199997369,0.162042963,1.07272
84,-1.99E-07,0.908750246,1,-0.199997772,0.163969754,1.07272
85,-1.99E-07,0.906807628,1,-0.199997584,0.165912372,1.07272
86,-1.99E-07,0.90481892,1,-0.199997565,0.16790108,1.07272
87,-1.99E-07,0.902785382,1,-0.19999767,0.169934618,1.07272
88,-1.99E-07,0.900728822,1,-0.199997197,0.171991178,1.07272
89,-1.99E-07,0.89860514,1,-0.199997458,0.17411486,1.07272
90,-1.99E-07,0.89645205,1,-0.199997436,0.17626795,1.07272
91,-1.99E-07,0.894240495,1,-0.199997556,0.178479505,1.07272
