time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-2.00E-07,0.984945347,1,-0.200000241,0.087774653,1.07272
1,-2.00E-07,0.984524003,1,-0.200000087,0.088195997,1.07272
2,-2.00E-07,0.984088375,1,-0.200000231,0.088631625,1.07272
3,-2.00E-07,0.98364786,1,-0.200000252,0.08907214,1.07272
4,-2.00E-07,0.983201954,1,-0.200000197,0.089518046,1.07272
5,-2.00E-07,0.98274699,1,-0.200000199,0.08997301,1.07272
6,-2.00E-07,0.982289475,1,-0.200000035,0.090430525,1.07272
7,-2.00E-07,0.981819614,1,-0.200000059,0.090900386,1.07272
8,-2.00E-07,0.981345833,1,-0.20000002,0.091374167,1.07272
9,-2.00E-07,0.980850209,1,-0.200000223,0.091869791,1.07272
10,-2.00E-07,0.980361323,1,-0.200000035,0.092358677,1.07272
11,-2.00E-07,0.979861534,1,-0.199999918,0.092858466,1.07272
12,-2.00E-07,0.979348138,1,-0.199999946,0.093371862,1.07272
13,-2.00E-07,0.978827511,1,-0.200000053,0.093892489,1.07272
14,-2.00E-07,0.978301951,1,-0.199999917,0.094418049,1.07272
15,-2.00E-07,0.977752985,1,-0.200000209,0.094967015,1.07272
16,-2.00E-07,0.977212732,1,-0.199999889,0.095507268,1.07272
17,-2.00E-07,0.976659315,1,-0.19999978,0.096060685,1.07272
18,-2.00E-07,0.976091974,1,-0.199999674,0.096628026,1.07272
19,-2.00E-07,0.975516525,1,-0.199999646,0.097203475,1.07272
20,-2.00E-07,0.974909552,1,-0.200000222,0.097810448,1.07272
21,-2.00E-07,0.974313238,1,-0.200000123,0.098406762,1.07272
22,-2.00E-07,0.973720553,1,-0.19999958,0.098999447,1.07272
23,-2.00E-07,0.973097214,1,-0.199999554,0.099622786,1.07272
24,-2.00E-07,0.972459382,1,-0.199999904,0.100260618,1.07272
25,-2.00E-07,0.971800723,1,-0.200000205,0.100919277,1.07272
26,-2.00E-07,0.971143409,1,-0.200000213,0.101576591,1.07272
27,-2.00E-07,0.97049351,1,-0.199999652,0.10222649,1.07272
28,-2.00E-07,0.969798108,1,-0.200000065,0.102921892,1.07272
29,-2.00E-07,0.969103679,1,-0.199999991,0.103616321,1.07272
30,-2.00E-07,0.968413562,1,-0.199999559,0.104306438,1.07272
31,-2.00E-07,0.9676848,1,-0.199999923,0.1050352,1.07272
32,-2.00E-07,0.966951095,1,-0.199999843,0.105768905,1.07272
33,-2.00E-07,0.966189783,1,-0.20000023,0.106530217,1.07272
34,-2.00E-07,0.965439459,1,-0.199999852,0.107280541,1.07272
35,-2.00E-07,0.964661423,1,-0.199999944,0.108058577,1.07272
36,-2.00E-07,0.963879174,1,-0.199999738,0.108840826,1.07272
37,-2.00E-07,0.96305964,1,-0.199999961,0.10966036,1.07272
38,-2.00E-07,0.962246183,1,-0.1999999,0.110473817,1.07272
39,-2.00E-07,0.961410349,1,-0.199999764,0.111309651,1.07272
40,-2.00E-07,0.960550625,1,-0.199999892,0.112169375,1.07272
41,-2.00E-07,0.959677588,1,-0.19999992,0.113042412,1.07272
42,-2.00E-07,0.958786989,1,-0.200000016,0.113933011,1.07272
43,-2.00E-07,0.957897725,1,-0.199999756,0.114822275,1.07272
44,-2.00E-07,0.956961004,1,-0.200000015,0.115758996,1.07272
45,-2.00E-07,0.956020211,1,-0.200000024,0.116699789,1.07272
46,-2.00E-07,0.955066563,1,-0.199999867,0.117653437,1.07272
47,-2.00E-07,0.954082616,1,-0.200000089,0.118637384,1.07272
48,-2.00E-07,0.953102008,1,-0.199999663,0.119617992,1.07272
49,-2.00E-07,0.952082542,1,-0.199999713,0.120637458,1.07272
50,-2.00E-07,0.951040149,1,-0.200000007,0.121679851,1.07272
51,-2.00E-07,0.949985942,1,-0.19999986,0.122734058,1.07272
52,-2.00E-07,0.948900291,1,-0.200000117,0.123819709,1.07272
