time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-2.00E-07,0.986772625,1,-0.19999951,0.085947375,1.07272
1,-2.00E-07,0.986367019,1,-0.199999386,0.086352981,1.07272
2,-2.00E-07,0.985948901,1,-0.199999406,0.086771099,1.07272
3,-2.00E-07,0.985535424,1,-0.199998966,0.087184576,1.07272
4,-2.00E-07,0.98510002,1,-0.199999223,0.08761998,1.07272
5,-2.00E-07,0.984652074,1,-0.199999555,0.088067926,1.07272
6,-2.00E-07,0.984209943,1,-0.199999442,0.088510057,1.07272
7,-2.00E-07,0.983768933,1,-0.199999037,0.088951067,1.07272
8,-2.00E-07,0.983302144,1,-0.199999249,0.089417856,1.07272
9,-2.00E-07,0.982840542,1,-0.199998945,0.089879458,1.07272
10,-2.00E-07,0.982351996,1,-0.199999385,0.090368004,1.07272
11,-2.00E-07,0.981864936,1,-0.199999519,0.090855064,1.07272
12,-2.00E-07,0.981376812,1,-0.19999938,0.091343188,1.07272
13,-2.00E-07,0.980870167,1,-0.199999528,0.091849833,1.07272
14,-2.00E-07,0.98035976,1,-0.199999544,0.09236024,1.07272
15,-2.00E-07,0.979849755,1,-0.199999193,0.092870245,1.07272
16,-2.00E-07,0.979314025,1,-0.199999532,0.093405975,1.07272
17,-2.00E-07,0.978775979,1,-0.199999516,0.093944021,1.07272
18,-2.00E-07,0.978226489,1,-0.199999589,0.094493511,1.07272
19,-2.00E-07,0.977676143,1,-0.199999348,0.095043857,1.07272
20,-2.00E-07,0.97711389,1,-0.199999308,0.09560611,1.07272
21,-2.00E-07,0.976533276,1,-0.199999344,0.096186724,1.07272
22,-2.00E-07,0.975954763,1,-0.19999905,0.096765237,1.07272
23,-2.00E-07,0.975351093,1,-0.199999297,0.097368907,1.07272
24,-2.00E-07,0.974734688,1,-0.19999945,0.097985312,1.07272
25,-2.00E-07,0.974131431,1,-0.199999076,0.098588569,1.07272
26,-2.00E-07,0.973481118,1,-0.199999508,0.099238882,1.07272
27,-2.00E-07,0.972840227,1,-0.199999422,0.099879773,1.07272
28,-2.00E-07,0.972183336,1,-0.199999474,0.100536664,1.07272
29,-2.00E-07,0.971529475,1,-0.199999094,0.101190525,1.07272
30,-2.00E-07,0.970845924,1,-0.199999199,0.101874076,1.07272
31,-2.00E-07,0.970146855,1,-0.199999342,0.102573145,1.07272
32,-2.00E-07,0.969443759,1,-0.199999342,0.103276241,1.07272
33,-2.00E-07,0.968718726,1,-0.19999945,0.104001274,1.07272
34,-2.00E-07,0.967987155,1,-0.199999411,0.104732845,1.07272
35,-2.00E-07,0.967236889,1,-0.199999501,0.105483111,1.07272
36,-2.00E-07,0.966487412,1,-0.199999203,0.106232588,1.07272
37,-2.00E-07,0.965714507,1,-0.199999117,0.107005493,1.07272
38,-2.00E-07,0.964924473,1,-0.199998977,0.107795527,1.07272
39,-2.00E-07,0.964112842,1,-0.199999303,0.108607158,1.07272
40,-2.00E-07,0.963284098,1,-0.199999473,0.109435902,1.07272
41,-2.00E-07,0.96246329,1,-0.199999065,0.11025671,1.07272
42,-2.00E-07,0.961604711,1,-0.199999153,0.111115289,1.07272
43,-2.00E-07,0.960737189,1,-0.199998994,0.111982811,1.07272
44,-2.00E-07,0.959859174,1,-0.199998974,0.112860826,1.07272
45,-2.00E-07,0.958946494,1,-0.199999126,0.113773506,1.07272
46,-2.00E-07,0.958015877,1,-0.199999383,0.114704123,1.07272
47,-2.00E-07,0.957072951,1,-0.19999949,0.115647049,1.07272
48,-2.00E-07,0.956129685,1,-0.199999144,0.116590315,1.07272
49,-2.00E-07,0.955141417,1,-0.199999389,0.117578583,1.07272
50,-2.00E-07,0.954143373,1,-0.199999445,0.118576627,1.07272
51,-2.00E-07,0.953141388,1,-0.19999907,0.119578612,1.07272
52,-2.00E-07,0.952094271,1,-0.199999431,0.120625729,1.07272
53,-2.00E-07,0.951047537,1,-0.199999146,0.121672463,1.07272
54,-2.00E-07,0.949971195,1,-0.199999206,0.122748805,1.07272
55,-2.00E-07,0.948884608,1,-0.199998872,0.123835392,1.07272
56,-2.00E-07,0.947746333,1,-0.199999415,0.124973667,1.07272
57,-2.00E-07,0.946627716,1,-0.199998919,0.126092284,1.07272
58,-2.00E-07,0.945439737,1,-0.199999474,0.127280263,1.07272
59,-2.00E-07,0.944258036,1,-0.199999363,0.128461964,1.07272
60,-2.00E-07,0.943061242,1,-0.199998921,0.129658758,1.07272
61,-2.00E-07,0.941813795,1,-0.199999358,0.130906205,1.07272
62,-2.00E-07,0.940556033,1,-0.19999936,0.132163967,1.07272
63,-2.00E-07,0.939285869,1,-0.199999048,0.133434131,1.07272
64,-2.00E-07,0.937981696,1,-0.19999888,0.134738304,1.07272
65,-2.00E-07,0.936648603,1,-0.199998934,0.136071397,1.07272
66,-2.00E-07,0.935286114,1,-0.199998925,0.137433886,1.07272
67,-2.00E-07,0.933899047,1,-0.199998968,0.138820953,1.07272
68,-2.00E-07,0.932475736,1,-0.199999268,0.140244264,1.07272
69,-2.00E-07,0.931050557,1,-0.1999989,0.141669443,1.07272
70,-2.00E-07,0.929559757,1,-0.199999363,0.143160243,1.07272
71,-2.00E-07,0.928065092,1,-0.199999198,0.144654908,1.07272
72,-2.00E-07,0.926541777,1,-0.199998994,0.146178223,1.07272
73,-2.00E-07,0.924982296,1,-0.199999081,0.147737704,1.07272
74,-2.00E-07,0.923378891,1,-0.199999264,0.149341109,1.07272
75,-2.00E-07,0.921756385,1,-0.199999282,0.150963615,1.07272
76,-2.00E-07,0.920101686,1,-0.199999282,0.152618314,1.07272
77,-2.00E-07,0.918420246,1,-0.199999166,0.154299754,1.07272
78,-2.00E-07,0.916691914,1,-0.199999341,0.156028086,1.07272
79,-2.00E-07,0.914938123,1,-0.199999258,0.157781877,1.07272
