time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.98E-07,0.961519689,1,-0.200007079,0.111200311,1.07272
1,-1.98E-07,0.960639234,1,-0.200006911,0.112080766,1.07272
2,-1.98E-07,0.959735514,1,-0.200006913,0.112984486,1.07272
3,-1.98E-07,0.958814965,1,-0.200006992,0.113905035,1.07272
4,-1.98E-07,0.957875344,1,-0.200007041,0.114844656,1.07272
5,-1.98E-07,0.956920658,1,-0.200006978,0.115799342,1.07272
6,-1.98E-07,0.955948794,1,-0.20000688,0.116771206,1.07272
7,-1.98E-07,0.954954029,1,-0.200006922,0.117765971,1.07272
8,-1.98E-07,0.953937159,1,-0.200007032,0.118782841,1.07272
9,-1.98E-07,0.952901767,1,-0.200007079,0.119818233,1.07272
10,-1.98E-07,0.951859092,1,-0.200006656,0.120860908,1.07272
11,-1.98E-07,0.950787164,1,-0.200006584,0.121932836,1.07272
12,-1.98E-07,0.949685459,1,-0.200006856,0.123034541,1.07272
13,-1.98E-07,0.948566192,1,-0.200006994,0.124153808,1.07272
14,-1.98E-07,0.947429497,1,-0.200006956,0.125290503,1.07272
15,-1.98E-07,0.946271136,1,-0.20000697,0.126448864,1.07272
16,-1.98E-07,0.945083724,1,-0.200007024,0.127636276,1.07272
17,-1.98E-07,0.943879466,1,-0.200006972,0.128840534,1.07272
18,-1.98E-07,0.94266164,1,-0.200006537,0.13005836,1.07272
19,-1.98E-07,0.941396832,1,-0.200006923,0.131323168,1.07272
20,-1.98E-07,0.940113926,1,-0.200007048,0.132606074,1.07272
21,-1.98E-07,0.938810772,1,-0.200007042,0.133909228,1.07272
22,-1.98E-07,0.937482228,1,-0.200007035,0.135237772,1.07272
23,-1.98E-07,0.936127504,1,-0.200007009,0.136592496,1.07272
24,-1.98E-07,0.93474784,1,-0.20000694,0.13797216,1.07272
25,-1.98E-07,0.933334521,1,-0.200007096,0.139385479,1.07272
26,-1.98E-07,0.931900656,1,-0.200006991,0.140819344,1.07272
27,-1.98E-07,0.930437755,1,-0.200006907,0.142282245,1.07272
28,-1.98E-07,0.928937439,1,-0.200007089,0.143782561,1.07272
29,-1.98E-07,0.927427097,1,-0.200006576,0.145292903,1.07272
30,-1.98E-07,0.925875804,1,-0.200006497,0.146844196,1.07272
31,-1.98E-07,0.924273287,1,-0.200007096,0.148446713,1.07272
32,-1.98E-07,0.922674977,1,-0.200006518,0.150045023,1.07272
33,-1.98E-07,0.921024986,1,-0.200006744,0.151695014,1.07272
34,-1.98E-07,0.919329506,1,-0.200007125,0.153390494,1.07272
35,-1.98E-07,0.91762744,1,-0.200006935,0.15509256,1.07272
36,-1.98E-07,0.91587081,1,-0.200006981,0.15684919,1.07272
37,-1.98E-07,0.91408937,1,-0.200007023,0.15863063,1.07272
38,-1.98E-07,0.912270344,1,-0.200007024,0.160449656,1.07272
39,-1.98E-07,0.910415609,1,-0.200007056,0.162304391,1.07272
40,-1.98E-07,0.908522031,1,-0.200007118,0.164197969,1.07272
41,-1.98E-07,0.906592943,1,-0.200007102,0.166127057,1.07272
42,-1.98E-07,0.904641162,1,-0.200006769,0.168078838,1.07272
43,-1.98E-07,0.902619151,1,-0.200006989,0.170100849,1.07272
44,-1.98E-07,0.900567556,1,-0.200007091,0.172152444,1.07272
45,-1.98E-07,0.898474612,1,-0.200007142,0.174245388,1.07272
46,-1.98E-07,0.896341768,1,-0.200007128,0.176378232,1.07272
47,-1.98E-07,0.894165901,1,-0.200007032,0.178554099,1.07272
48,-1.98E-07,0.891960902,1,-0.2000066,0.180759098,1.07272
49,-1.98E-07,0.889672841,1,-0.200007123,0.183047159,1.07272
50,-1.98E-07,0.887361139,1,-0.200006957,0.185358861,1.07272
51,-1.98E-07,0.884993311,1,-0.200007079,0.187726689,1.07272
52,-1.98E-07,0.882581267,1,-0.200006998,0.190138733,1.07272
53,-1.98E-07,0.880124484,1,-0.200006783,0.192595516,1.07272
