time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.99E-07,0.957354288,1,-0.200012823,0.115365712,1.07272
1,-1.99E-07,0.956608003,1,-0.200012708,0.116111997,1.07272
2,-1.99E-07,0.955855543,1,-0.200012312,0.116864457,1.07272
3,-1.99E-07,0.955065295,1,-0.200012794,0.117654705,1.07272
4,-1.99E-07,0.954273803,1,-0.200012803,0.118446197,1.07272
5,-1.99E-07,0.95347409,1,-0.200012616,0.11924591,1.07272
6,-1.99E-07,0.952659468,1,-0.200012495,0.120060532,1.07272
7,-1.99E-07,0.951820461,1,-0.200012585,0.120899539,1.07272
8,-1.99E-07,0.950981842,1,-0.200012391,0.121738158,1.07272
9,-1.99E-07,0.950112024,1,-0.200012283,0.122607976,1.07272
10,-1.99E-07,0.949221739,1,-0.200012747,0.123498261,1.07272
11,-1.99E-07,0.948322867,1,-0.200012819,0.124397133,1.07272
12,-1.99E-07,0.947416454,1,-0.200012583,0.125303546,1.07272
13,-1.99E-07,0.946493121,1,-0.200012377,0.126226879,1.07272
14,-1.99E-07,0.945537267,1,-0.20001264,0.127182733,1.07272
15,-1.99E-07,0.944583884,1,-0.200012221,0.128136116,1.07272
16,-1.99E-07,0.943597194,1,-0.200012391,0.129122806,1.07272
17,-1.99E-07,0.942600182,1,-0.200012264,0.130119818,1.07272
18,-1.99E-07,0.941577874,1,-0.200012653,0.131142126,1.07272
19,-1.99E-07,0.940523666,1,-0.200012815,0.132196334,1.07272
20,-1.99E-07,0.939463206,1,-0.200012862,0.133256794,1.07272
21,-1.99E-07,0.938397528,1,-0.200012418,0.134322472,1.07272
22,-1.99E-07,0.937290116,1,-0.200012716,0.135429884,1.07272
23,-1.99E-07,0.936170384,1,-0.200012781,0.136549616,1.07272
24,-1.99E-07,0.935034887,1,-0.200012502,0.137685113,1.07272
25,-1.99E-07,0.933862347,1,-0.200012871,0.138857653,1.07272
26,-1.99E-07,0.932699073,1,-0.200012234,0.140020927,1.07272
27,-1.99E-07,0.931475311,1,-0.20001274,0.141244689,1.07272
28,-1.99E-07,0.930252332,1,-0.200012568,0.142467668,1.07272
29,-1.99E-07,0.92899331,1,-0.200012721,0.14372669,1.07272
30,-1.99E-07,0.927726144,1,-0.200012394,0.144993856,1.07272
