time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.99E-07,0.989450446,1,-0.199997637,0.083269554,1.07272
1,-1.99E-07,0.989039688,1,-0.199997944,0.083680312,1.07272
2,-1.99E-07,0.988643511,1,-0.199997471,0.084076489,1.07272
3,-1.99E-07,0.988219522,1,-0.199997694,0.084500478,1.07272
4,-1.99E-07,0.987796871,1,-0.199997659,0.084923129,1.07272
5,-1.99E-07,0.987369644,1,-0.199997371,0.085350356,1.07272
6,-1.99E-07,0.986931032,1,-0.199997376,0.085788968,1.07272
7,-1.99E-07,0.98646534,1,-0.199997928,0.08625466,1.07272
8,-1.99E-07,0.986008236,1,-0.199997969,0.086711764,1.07272
9,-1.99E-07,0.985551138,1,-0.19999771,0.087168862,1.07272
10,-1.99E-07,0.985076906,1,-0.199997735,0.087643094,1.07272
11,-1.99E-07,0.984603496,1,-0.199997553,0.088116504,1.07272
12,-1.99E-07,0.984103477,1,-0.19999776,0.088616523,1.07272
13,-1.99E-07,0.983609586,1,-0.199997647,0.089110414,1.07272
14,-1.99E-07,0.983097775,1,-0.199997705,0.089622225,1.07272
15,-1.99E-07,0.982576095,1,-0.199997805,0.090143905,1.07272
16,-1.99E-07,0.982050533,1,-0.199997747,0.090669467,1.07272
17,-1.99E-07,0.981516638,1,-0.199997615,0.091203362,1.07272
18,-1.99E-07,0.98096777,1,-0.199997686,0.09175223,1.07272
19,-1.99E-07,0.980403522,1,-0.199997827,0.092316478,1.07272
20,-1.99E-07,0.979838861,1,-0.199997739,0.092881139,1.07272
21,-1.99E-07,0.979263802,1,-0.19999759,0.093456198,1.07272
22,-1.99E-07,0.97866659,1,-0.199997744,0.09405341,1.07272
23,-1.99E-07,0.978061566,1,-0.199997883,0.094658434,1.07272
24,-1.99E-07,0.977462443,1,-0.19999745,0.095257557,1.07272
25,-1.99E-07,0.976825491,1,-0.199997781,0.095894509,1.07272
26,-1.99E-07,0.97618791,1,-0.199997753,0.09653209,1.07272
27,-1.99E-07,0.975535201,1,-0.19999783,0.097184799,1.07272
28,-1.99E-07,0.974884714,1,-0.199997544,0.097835286,1.07272
29,-1.99E-07,0.974207227,1,-0.199997577,0.098512773,1.07272
30,-1.99E-07,0.973513151,1,-0.199997678,0.099206849,1.07272
31,-1.99E-07,0.972809147,1,-0.199997722,0.099910853,1.07272
32,-1.99E-07,0.972106295,1,-0.199997369,0.100613705,1.07272
33,-1.99E-07,0.971365328,1,-0.199997702,0.101354672,1.07272
34,-1.99E-07,0.970629747,1,-0.199997396,0.102090253,1.07272
35,-1.99E-07,0.969861279,1,-0.19999763,0.102858721,1.07272
36,-1.99E-07,0.969101373,1,-0.199997188,0.103618627,1.07272
37,-1.99E-07,0.968300095,1,-0.199997528,0.104419905,1.07272
38,-1.99E-07,0.96749631,1,-0.199997489,0.10522369,1.07272
39,-1.99E-07,0.966680375,1,-0.199997324,0.106039625,1.07272
40,-1.99E-07,0.965829816,1,-0.199997659,0.106890184,1.07272
41,-1.99E-07,0.964974582,1,-0.199997641,0.107745418,1.07272
42,-1.99E-07,0.964104645,1,-0.199997612,0.108615355,1.07272
43,-1.99E-07,0.963214659,1,-0.19999757,0.109505341,1.07272
44,-1.99E-07,0.962308319,1,-0.199997526,0.110411681,1.07272
45,-1.99E-07,0.961392407,1,-0.199997444,0.111327593,1.07272
46,-1.99E-07,0.960446426,1,-0.199997322,0.112273574,1.07272
47,-1.99E-07,0.959485671,1,-0.199997286,0.113234329,1.07272
48,-1.99E-07,0.958500295,1,-0.199997301,0.114219705,1.07272
49,-1.99E-07,0.957483046,1,-0.199997637,0.115236954,1.07272
50,-1.99E-07,0.956467628,1,-0.199997424,0.116252372,1.07272
51,-1.99E-07,0.955423834,1,-0.199997436,0.117296166,1.07272
52,-1.99E-07,0.954360688,1,-0.19999742,0.118359312,1.07272
53,-1.99E-07,0.953264748,1,-0.199997605,0.119455252,1.07272
54,-1.99E-07,0.952156218,1,-0.199997655,0.120563782,1.07272
55,-1.99E-07,0.951024586,1,-0.199997648,0.121695414,1.07272
56,-1.99E-07,0.949876703,1,-0.199997497,0.122843297,1.07272
57,-1.99E-07,0.94870354,1,-0.199997513,0.12401646,1.07272
58,-1.99E-07,0.947502319,1,-0.199997416,0.125217681,1.07272
59,-1.99E-07,0.946278632,1,-0.199997418,0.126441368,1.07272
60,-1.99E-07,0.945040009,1,-0.199997163,0.127679991,1.07272
61,-1.99E-07,0.94375415,1,-0.199997369,0.12896585,1.07272
62,-1.99E-07,0.94245204,1,-0.199997417,0.13026796,1.07272
63,-1.99E-07,0.941117839,1,-0.199997636,0.131602161,1.07272
64,-1.99E-07,0.93976728,1,-0.19999752,0.13295272,1.07272
65,-1.99E-07,0.938397449,1,-0.199997279,0.134322551,1.07272
66,-1.99E-07,0.936982875,1,-0.199997435,0.135737125,1.07272
67,-1.99E-07,0.935554904,1,-0.199997189,0.137165096,1.07272
68,-1.99E-07,0.93409046,1,-0.199997268,0.13862954,1.07272
69,-1.99E-07,0.932590298,1,-0.199997362,0.140129702,1.07272
70,-1.99E-07,0.931054418,1,-0.199997589,0.141665582,1.07272
71,-1.99E-07,0.929514459,1,-0.199997172,0.143205541,1.07272
72,-1.99E-07,0.927934082,1,-0.199997117,0.144785918,1.07272
73,-1.99E-07,0.926295985,1,-0.199997535,0.146424015,1.07272
74,-1.99E-07,0.924642498,1,-0.199997549,0.148077502,1.07272
75,-1.99E-07,0.922961921,1,-0.19999738,0.149758079,1.07272
76,-1.99E-07,0.921251765,1,-0.199997145,0.151468235,1.07272
77,-1.99E-07,0.919498103,1,-0.199997208,0.153221897,1.07272
78,-1.99E-07,0.917691197,1,-0.199997536,0.155028803,1.07272
79,-1.99E-07,0.915874599,1,-0.199997343,0.156845401,1.07272
80,-1.99E-07,0.914002901,1,-0.19999747,0.158717099,1.07272
81,-1.99E-07,0.912109686,1,-0.199997293,0.160610314,1.07272
82,-1.99E-07,0.910159864,1,-0.199997492,0.162560136,1.07272
83,-1.99E-07,0.908193125,1,-0.199997123,0.164526875,1.07272
84,-1.99E-07,0.906158229,1,-0.19999743,0.166561771,1.07272
85,-1.99E-07,0.904099475,1,-0.1999973,0.168620525,1.07272
86,-1.99E-07,0.901992116,1,-0.199997325,0.170727884,1.07272
87,-1.99E-07,0.899836404,1,-0.199997459,0.172883596,1.07272
88,-1.99E-07,0.897645005,1,-0.19999736,0.175074995,1.07272
89,-1.99E-07,0.895405945,1,-0.19999736,0.177314055,1.07272
90,-1.99E-07,0.893113809,1,-0.199997471,0.179606191,1.07272
91,-1.99E-07,0.890785114,1,-0.199997038,0.181934886,1.07272
92,-1.99E-07,0.888386398,1,-0.199997325,0.184333602,1.07272
93,-1.99E-07,0.885947086,1,-0.199997301,0.186772914,1.07272
94,-1.99E-07,0.883446765,1,-0.199997529,0.189273235,1.07272
95,-1.99E-07,0.880898252,1,-0.199997543,0.191821748,1.07272
96,-1.99E-07,0.878305944,1,-0.199997262,0.194414056,1.07272
97,-1.99E-07,0.875641923,1,-0.199997375,0.197078077,1.07272
98,-1.99E-07,0.872922968,1,-0.199997268,0.199797032,1.07272
99,-1.99E-07,0.870138113,1,-0.19999731,0.202581887,1.07272
100,-1.99E-07,0.867305596,1,-0.199997067,0.205414404,1.07272
101,-1.99E-07,0.864394984,1,-0.199997076,0.208325016,1.07272
102,-1.99E-07,0.861399475,1,-0.199997381,0.211320525,1.07272
103,-1.99E-07,0.85836203,1,-0.199997119,0.21435797,1.07272
104,-1.99E-07,0.855239508,1,-0.199997169,0.217480492,1.07272
105,-1.99E-07,0.852039785,1,-0.199997217,0.220680215,1.07272
106,-1.99E-07,0.848759263,1,-0.199997373,0.223960737,1.07272
107,-1.99E-07,0.845393444,1,-0.199997561,0.227326556,1.07272
108,-1.99E-07,0.84196722,1,-0.199997234,0.23075278,1.07272
109,-1.99E-07,0.838441518,1,-0.199997215,0.234278482,1.07272
110,-1.99E-07,0.834821899,1,-0.199997257,0.237898101,1.07272
111,-1.99E-07,0.831112585,1,-0.199997188,0.241607415,1.07272
112,-1.99E-07,0.827295342,1,-0.199997316,0.245424658,1.07272
