time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.036069999999998,1.07272
0,-4.982471300347e-07,0.93766988146487,1,-0.49999556077001,0.13505011853513,1.07272
1,-4.9824703060543e-07,0.93731993871822,1,-0.49999546099184,0.13540006128178,1.07272
2,-4.9824703911301e-07,0.93696599275975,1,-0.49999546952927,0.13575400724025,1.07272
3,-4.9824704239538e-07,0.93661032272558,1,-0.49999547282315,0.13610967727442,1.07272
4,-4.9824703036328e-07,0.93625288125405,1,-0.49999546074883,0.13646711874595,1.07272
5,-4.9824704951971e-07,0.93589286103626,1,-0.49999547997249,0.13682713896374,1.07272
6,-4.9824702514835e-07,0.93553154803491,1,-0.4999954555156,0.13718845196509,1.07272
7,-4.9824702353819e-07,0.93516783222782,1,-0.4999954538998,0.13755216777218,1.07272
8,-4.9824701813754e-07,0.93480212094688,1,-0.49999544848019,0.13791787905312,1.07272
9,-4.9824701583958e-07,0.93443431555656,1,-0.49999544617416,0.13828568444344,1.07272
10,-4.9824703186901e-07,0.93406420154889,1,-0.49999546225985,0.13865579845111,1.07272
11,-4.9824703006086e-07,0.93369235594802,1,-0.49999546044535,0.13902764405198,1.07272
12,-4.9824700424536e-07,0.93331838727465,1,-0.49999543453926,0.13940161272535,1.07272
13,-4.9824699171157e-07,0.93294258203087,1,-0.49999542196149,0.13977741796913,1.07272
14,-4.9824699349426e-07,0.93256411181196,1,-0.49999542375043,0.14015588818804,1.07272
15,-4.9824701538462e-07,0.93218327659918,1,-0.49999544571761,0.14053672340082,1.07272
16,-4.9824700684428e-07,0.93180080580833,1,-0.4999954371473,0.14091919419167,1.07272
17,-4.9824687287753e-07,0.9314181683959,1,-0.49999530271044,0.1413018316041,1.07272
18,-4.9824698912438e-07,0.93102979168426,1,-0.49999541936522,0.14169020831574,1.07272
19,-4.9824694850055e-07,0.9306407620617,1,-0.49999537859884,0.1420792379383,1.07272
20,-4.9824698588901e-07,0.93024896397014,1,-0.4999954161185,0.14247103602986,1.07272
21,-4.9824695775796e-07,0.92985580916905,1,-0.49999538788873,0.14286419083095,1.07272
22,-4.9824697089159e-07,0.92945991716924,1,-0.49999540106845,0.14326008283076,1.07272
23,-4.9824696496878e-07,0.92906197171933,1,-0.49999539512485,0.14365802828067,1.07272
24,-4.9824696382598e-07,0.92866175022633,1,-0.49999539397805,0.14405824977367,1.07272
25,-4.9824696218696e-07,0.92825930225982,1,-0.49999539233328,0.14446069774018,1.07272
26,-4.9824693282439e-07,0.92785490038652,1,-0.49999536286767,0.14486509961348,1.07272
27,-4.9824693115684e-07,0.92744783835028,1,-0.49999536119427,0.14527216164972,1.07272
28,-4.9824692685064e-07,0.92703844017195,1,-0.49999535687296,0.14568155982805,1.07272
29,-4.9824690508659e-07,0.92662697374257,1,-0.49999533503253,0.14609302625743,1.07272
30,-4.9824689315836e-07,0.92621330215442,1,-0.49999532306244,0.14650669784558,1.07272
31,-4.9824689883169e-07,0.92579674807323,1,-0.49999532875568,0.14692325192677,1.07272
32,-4.9824691190168e-07,0.92537769731481,1,-0.49999534187153,0.14734230268519,1.07272
33,-4.9824691325482e-07,0.92495658565329,1,-0.49999534322942,0.14776341434671,1.07272
34,-4.9824691583436e-07,0.92453305236089,1,-0.49999534581801,0.14818694763911,1.07272
35,-4.9824689618011e-07,0.92410734755318,1,-0.4999953260948,0.14861265244682,1.07272
36,-4.9824679978268e-07,0.92368041128328,1,-0.49999522935909,0.14903958871673,1.07272
37,-4.9824685285747e-07,0.9232489020256,1,-0.49999528262013,0.1494710979744,1.07272
38,-4.9824686082079e-07,0.92281538639548,1,-0.49999529061139,0.14990461360452,1.07272
39,-4.982468676411e-07,0.9223795172462,1,-0.49999529745563,0.1503404827538,1.07272
40,-4.9824687473978e-07,0.92194126044011,1,-0.49999530457923,0.15077873955989,1.07272
41,-4.9824687416698e-07,0.92150058800603,1,-0.49999530400442,0.15121941199397,1.07272
